Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Tot Deaths/1M pop,Total Tests,Tests/1M pop
Kyrgyzstan,228.0,12.0,4.0,0.0,33.0,191.0,5.0,35.0,0.6,9618.0,1474.0
Georgia,196.0,8.0,3.0,1.0,46.0,147.0,6.0,49.0,0.8,2762.0,692.0
Bolivia,194.0,11.0,14.0,3.0,2.0,178.0,3.0,17.0,1.0,591.0,51.0
Sri Lanka,185.0,7.0,6.0,1.0,42.0,137.0,5.0,9.0,0.3,3248.0,152.0
Faeroe Islands,184.0,1.0,0.0,0.0,120.0,64.0,2.0,3766.0,0.0,5035.0,103043.0
DRC,180.0,19.0,18.0,0.0,9.0,153.0,0.0,2.0,0.2,0.0,0.0
Kenya,172.0,14.0,6.0,0.0,7.0,159.0,2.0,3.0,0.1,4973.0,92.0
Venezuela,165.0,0.0,7.0,0.0,65.0,93.0,6.0,6.0,0.2,1779.0,63.0
Bangladesh,164.0,41.0,17.0,5.0,33.0,114.0,1.0,1.0,0.1,4289.0,26.0
Mayotte,164.0,0.0,2.0,0.0,15.0,147.0,3.0,601.0,7.0,479.0,1756.0
Martinique,152.0,1.0,4.0,0.0,50.0,98.0,20.0,405.0,11.0,0.0,0.0
Isle of Man,150.0,11.0,1.0,0.0,73.0,76.0,6.0,1764.0,12.0,1669.0,19628.0
Guinea,144.0,16.0,0.0,0.0,5.0,139.0,0.0,11.0,0.0,0.0,0.0
Guadeloupe,139.0,0.0,7.0,0.0,31.0,101.0,14.0,347.0,17.0,0.0,0.0
Brunei ,135.0,0.0,1.0,0.0,85.0,49.0,3.0,309.0,2.0,8845.0,20218.0
Paraguay,115.0,2.0,5.0,0.0,15.0,95.0,1.0,16.0,0.7,2039.0,286.0
Cambodia,115.0,1.0,0.0,0.0,58.0,57.0,1.0,7.0,0.0,5768.0,345.0
Gibraltar,113.0,4.0,0.0,0.0,60.0,53.0,0.0,3354.0,0.0,1440.0,42741.0
Trinidad and Tobago,107.0,2.0,8.0,0.0,1.0,98.0,0.0,76.0,6.0,878.0,627.0
Rwanda,105.0,0.0,0.0,0.0,7.0,98.0,0.0,8.0,0.0,806.0,62.0
Djibouti,90.0,0.0,0.0,0.0,9.0,81.0,0.0,91.0,0.0,2229.0,2256.0
Madagascar,88.0,6.0,0.0,0.0,2.0,86.0,6.0,3.0,0.0,0.0,0.0
Monaco,79.0,2.0,1.0,0.0,4.0,74.0,4.0,2013.0,25.0,0.0,0.0
El Salvador,78.0,9.0,4.0,0.0,5.0,69.0,4.0,12.0,0.6,0.0,0.0
Liechtenstein,78.0,1.0,1.0,0.0,55.0,22.0,0.0,2046.0,26.0,900.0,23605.0
Guatemala,77.0,7.0,3.0,0.0,17.0,57.0,3.0,4.0,0.2,1134.0,63.0
Aruba,74.0,3.0,0.0,0.0,14.0,60.0,0.0,693.0,0.0,954.0,8935.0
French Guiana,72.0,0.0,0.0,0.0,34.0,38.0,1.0,241.0,0.0,0.0,0.0
Togo,65.0,7.0,3.0,0.0,23.0,39.0,0.0,8.0,0.4,1617.0,195.0
Barbados,63.0,3.0,3.0,1.0,6.0,54.0,4.0,219.0,10.0,557.0,1938.0
Jamaica,59.0,0.0,3.0,0.0,8.0,48.0,0.0,20.0,1.0,540.0,182.0
Mali,56.0,9.0,5.0,0.0,12.0,39.0,0.0,3.0,0.2,0.0,0.0
Ethiopia,52.0,8.0,2.0,0.0,4.0,46.0,1.0,0.5,0.02,2271.0,20.0
Uganda,52.0,0.0,0.0,0.0,0.0,52.0,0.0,1.0,0.0,3310.0,72.0
French Polynesia,47.0,5.0,0.0,0.0,0.0,47.0,0.0,167.0,0.0,694.0,2471.0
Congo,45.0,0.0,5.0,0.0,2.0,38.0,0.0,8.0,0.9,0.0,0.0
Cayman Islands,45.0,6.0,1.0,0.0,6.0,38.0,0.0,685.0,15.0,479.0,7288.0
Macao,44.0,0.0,0.0,0.0,10.0,34.0,1.0,68.0,0.0,0.0,0.0
Sint Maarten,40.0,3.0,6.0,0.0,1.0,33.0,2.0,933.0,140.0,112.0,2612.0
Bermuda,39.0,0.0,2.0,0.0,17.0,20.0,0.0,626.0,32.0,306.0,4913.0
Zambia,39.0,0.0,1.0,0.0,7.0,31.0,0.0,2.0,0.05,619.0,34.0
Bahamas,33.0,0.0,6.0,1.0,5.0,22.0,1.0,84.0,15.0,0.0,0.0
Guyana,33.0,2.0,5.0,1.0,8.0,20.0,4.0,42.0,6.0,132.0,168.0
Guinea-Bissau,33.0,15.0,0.0,0.0,0.0,33.0,0.0,17.0,0.0,0.0,0.0
Saint Martin,32.0,0.0,2.0,0.0,7.0,23.0,6.0,828.0,52.0,0.0,0.0
Eritrea,31.0,0.0,0.0,0.0,0.0,31.0,0.0,9.0,0.0,0.0,0.0
Gabon,30.0,6.0,1.0,0.0,1.0,28.0,0.0,13.0,0.4,0.0,0.0
Benin,26.0,0.0,1.0,0.0,5.0,20.0,0.0,2.0,0.08,0.0,0.0
Haiti,25.0,1.0,1.0,0.0,0.0,24.0,0.0,2.0,0.09,257.0,23.0
Tanzania,24.0,0.0,1.0,0.0,5.0,18.0,0.0,0.4,0.02,0.0,0.0
Myanmar,22.0,0.0,1.0,0.0,0.0,21.0,0.0,0.4,0.02,1246.0,23.0
Libya,20.0,1.0,1.0,0.0,1.0,18.0,0.0,3.0,0.1,326.0,47.0
Syria,19.0,0.0,2.0,0.0,3.0,14.0,0.0,1.0,0.1,0.0,0.0
Antigua and Barbuda,19.0,4.0,1.0,1.0,0.0,18.0,1.0,194.0,10.0,40.0,408.0
Maldives,19.0,0.0,0.0,0.0,13.0,6.0,0.0,35.0,0.0,0.0,0.0
New Caledonia,18.0,0.0,0.0,0.0,1.0,17.0,0.0,63.0,0.0,2135.0,7478.0
Angola,17.0,1.0,2.0,0.0,2.0,13.0,0.0,0.5,0.06,0.0,0.0
Equatorial Guinea,16.0,0.0,0.0,0.0,3.0,13.0,0.0,11.0,0.0,854.0,609.0
Namibia,16.0,0.0,0.0,0.0,3.0,13.0,0.0,6.0,0.0,362.0,142.0
Dominica,15.0,0.0,0.0,0.0,1.0,14.0,0.0,208.0,0.0,293.0,4070.0
Fiji,15.0,1.0,0.0,0.0,0.0,15.0,0.0,17.0,0.0,0.0,0.0
Mongolia,15.0,0.0,0.0,0.0,4.0,11.0,0.0,5.0,0.0,0.0,0.0
Liberia,14.0,0.0,3.0,0.0,3.0,8.0,0.0,3.0,0.6,0.0,0.0
Sudan,14.0,2.0,2.0,0.0,2.0,10.0,0.0,0.3,0.05,0.0,0.0
Laos,14.0,2.0,0.0,0.0,0.0,14.0,0.0,2.0,0.0,765.0,105.0
Saint Lucia,14.0,0.0,0.0,0.0,1.0,13.0,0.0,76.0,0.0,0.0,0.0
Curaçao,13.0,0.0,1.0,0.0,7.0,5.0,0.0,79.0,6.0,0.0,0.0
Grenada,12.0,0.0,0.0,0.0,0.0,12.0,2.0,107.0,0.0,45.0,400.0
Zimbabwe,11.0,1.0,2.0,1.0,0.0,9.0,0.0,0.7,0.1,371.0,25.0
Greenland,11.0,0.0,0.0,0.0,10.0,1.0,0.0,194.0,0.0,752.0,13246.0
Saint Kitts and Nevis,11.0,1.0,0.0,0.0,0.0,11.0,0.0,207.0,0.0,183.0,3440.0
Seychelles,11.0,0.0,0.0,0.0,0.0,11.0,0.0,112.0,0.0,0.0,0.0
Suriname,10.0,0.0,1.0,0.0,0.0,9.0,0.0,17.0,2.0,0.0,0.0
Chad,10.0,1.0,0.0,0.0,2.0,8.0,0.0,0.6,0.0,0.0,0.0
Mozambique,10.0,0.0,0.0,0.0,1.0,9.0,0.0,0.3,0.0,363.0,12.0
Eswatini,10.0,0.0,0.0,0.0,4.0,6.0,0.0,9.0,0.0,0.0,0.0
MS Zaandam,9.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
Nepal,9.0,0.0,0.0,0.0,1.0,8.0,0.0,0.3,0.0,1890.0,65.0
Malawi,8.0,3.0,1.0,1.0,0.0,7.0,1.0,0.4,0.05,0.0,0.0
Turks and Caicos,8.0,0.0,1.0,0.0,0.0,7.0,0.0,207.0,26.0,61.0,1576.0
CAR,8.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0
Somalia,8.0,1.0,0.0,0.0,1.0,7.0,0.0,0.5,0.0,0.0,0.0
Belize,7.0,0.0,1.0,0.0,0.0,6.0,1.0,18.0,3.0,268.0,674.0
Cabo Verde,7.0,0.0,1.0,0.0,1.0,5.0,0.0,13.0,2.0,0.0,0.0
Vatican City,7.0,0.0,0.0,0.0,0.0,7.0,0.0,8739.0,0.0,0.0,0.0
St. Vincent Grenadines,7.0,0.0,0.0,0.0,1.0,6.0,0.0,63.0,0.0,56.0,505.0
Botswana,6.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.4,1154.0,491.0
Mauritania,6.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,0.2,67.0,14.0
Nicaragua,6.0,0.0,1.0,0.0,0.0,5.0,0.0,0.9,0.2,0.0,0.0
Montserrat,6.0,0.0,0.0,0.0,0.0,6.0,0.0,1202.0,0.0,0.0,0.0
St. Barth,6.0,0.0,0.0,0.0,1.0,5.0,0.0,607.0,0.0,0.0,0.0
Sierra Leone,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.8,0.0,0.0,0.0
Bhutan,5.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,1166.0,1511.0
Gambia,4.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.4,0.0,0.0
Sao Tome and Principe,4.0,0.0,0.0,0.0,0.0,4.0,0.0,18.0,0.0,19.0,87.0
Western Sahara,4.0,0.0,0.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0
Anguilla,3.0,0.0,0.0,0.0,0.0,3.0,0.0,200.0,0.0,0.0,0.0
British Virgin Islands,3.0,0.0,0.0,0.0,0.0,3.0,0.0,99.0,0.0,0.0,0.0
Burundi,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.0,0.0,0.0
Caribbean Netherlands,2.0,0.0,0.0,0.0,0.0,2.0,0.0,76.0,0.0,10.0,381.0
Falkland Islands,2.0,0.0,0.0,0.0,0.0,2.0,0.0,575.0,0.0,0.0,0.0
Papua New Guinea,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,72.0,8.0
South Sudan,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0
Saint Pierre Miquelon,1.0,0.0,0.0,0.0,0.0,1.0,0.0,173.0,0.0,0.0,0.0
Timor-Leste,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0.0,0.0
China,81740.0,32.0,3331.0,0.0,77167.0,1242.0,211.0,57.0,2.0,0.0,0.0
